,date,PM2.5,SO2,NO2,CO
0,2018-01-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
1,2018-02-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
2,2018-03-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
3,2018-04-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
4,2018-05-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
5,2018-06-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
6,2018-07-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
7,2018-08-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
8,2018-09-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
9,2018-10-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
10,2018-11-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
11,2018-12-01,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
12,2018-01-13,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
13,2018-01-14,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
14,2018-01-15,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
15,2018-01-16,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
16,2018-01-17,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
17,2018-01-18,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
18,2018-01-19,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
19,2018-01-20,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
20,2018-01-21,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
21,2018-01-22,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
22,2018-01-23,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
23,2018-01-24,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
24,2018-01-25,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
25,2018-01-26,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
26,2018-01-27,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
27,2018-01-28,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
28,2018-01-29,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
29,2018-01-30,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
30,2018-01-31,83.93236474164134,8.244408338442673,22.250987202925046,0.9212211421628189
31,2018-01-02,139.81,7.88,24.29,0.54
32,2018-02-02,126.44,4.5,27.61,0.58
33,2018-03-02,133.29,5.81,26.64,0.47
34,2018-04-02,172.17,8.28,24.9,0.56
35,2018-05-02,134.17,5.04,26.0,0.57
36,2018-06-02,150.96,5.29,23.38,0.74
37,2018-07-02,140.88,6.79,20.83,0.49
38,2018-08-02,142.56,6.28,24.54,0.67
39,2018-09-02,136.67,5.41,24.38,0.89
40,2018-10-02,181.12,5.52,33.8,0.96
41,2018-11-02,132.08,5.08,31.06,0.83
42,2018-12-02,66.21,2.21,16.8,0.49
43,2018-02-13,95.02,2.75,23.22,0.52
44,2018-02-14,88.53,5.53,16.4,0.45
45,2018-02-15,128.17,7.92,18.17,0.48
46,2018-02-16,107.92,6.07,21.12,0.49
47,2018-02-17,112.75,4.74,19.73,0.5
48,2018-02-18,109.78,3.71,21.41,0.51
49,2018-02-19,106.0,4.35,26.18,0.62
50,2018-02-20,106.83,5.77,25.24,0.59
51,2018-02-21,115.04,6.4,32.0,0.85
52,2018-02-22,168.92,9.41,24.33,0.73
53,2018-02-23,140.06,7.58,28.36,0.94
54,2018-02-24,129.12,5.41,33.37,0.99
55,2018-02-25,122.08,6.93,18.2,0.55
56,2018-02-26,82.33,2.71,12.78,0.4
57,2018-02-27,93.5,4.74,14.5,0.41
58,2018-02-28,99.58,3.46,17.92,0.63
59,2018-01-03,118.5,5.72,17.49,0.67
60,2018-02-03,103.5,4.61,18.82,0.67
61,2018-03-03,84.42,3.5,14.64,0.47
62,2018-04-03,86.33,4.91,14.48,0.53
63,2018-05-03,87.28,4.15,16.15,0.43
64,2018-06-03,99.85,8.94,15.81,0.39
65,2018-07-03,83.26,3.71,18.86,0.43
66,2018-08-03,89.23,5.51,26.09,0.7
67,2018-09-03,107.34,6.38,29.05,0.88
68,2018-10-03,85.19,5.02,17.44,0.42
69,2018-11-03,85.0,4.52,16.72,0.65
70,2018-12-03,110.12,9.68,20.62,0.58
71,2018-03-13,89.35,6.85,33.49,0.62
72,2018-03-14,76.71,5.3,36.12,0.62
73,2018-03-15,62.71,4.24,29.17,0.54
74,2018-03-16,96.53,6.04,21.75,0.65
75,2018-03-17,121.35,9.87,17.67,0.54
76,2018-03-18,51.01,4.28,16.7,0.35
77,2018-03-19,105.75,7.11,19.71,0.52
78,2018-03-20,95.62,7.3,27.19,0.69
79,2018-03-21,127.19,9.2,23.59,0.69
80,2018-03-22,102.88,8.98,14.81,0.46
81,2018-03-23,94.71,7.58,16.31,0.4
82,2018-03-24,111.0,8.73,18.88,0.53
83,2018-03-25,100.5,7.41,14.4,0.48
84,2018-03-26,97.67,9.81,18.45,0.49
85,2018-03-27,75.0,3.97,27.31,0.49
86,2018-03-28,79.96,10.26,27.77,0.6
87,2018-03-29,103.42,13.0,14.96,0.5
88,2018-03-30,79.0,5.71,21.9,0.57
89,2018-03-31,80.53,5.65,19.5,0.55
90,2018-01-04,54.5,2.35,20.7,0.55
91,2018-02-04,66.82,3.85,35.18,0.66
92,2018-03-04,78.91,4.57,34.57,0.72
93,2018-04-04,75.47,6.69,31.64,0.63
94,2018-05-04,129.63,18.06,27.84,0.95
95,2018-06-04,82.71,9.31,29.09,0.91
96,2018-07-04,37.22,3.46,22.44,1.25
97,2018-08-04,41.99,4.12,18.31,1.41
98,2018-09-04,40.07,3.68,21.55,1.29
99,2018-10-04,74.79,3.89,25.04,0.6
100,2018-11-04,42.38,4.14,17.47,0.35
101,2018-12-04,45.17,5.2,22.99,0.47
102,2018-04-13,106.88,15.68,26.4,0.9
103,2018-04-14,96.9,11.04,28.72,0.8
104,2018-04-15,99.33,7.29,27.29,0.63
105,2018-04-16,91.12,5.58,31.15,0.38
106,2018-04-17,60.0,3.13,30.57,0.7
107,2018-04-18,73.25,5.4,18.82,0.24
108,2018-04-19,84.43,6.15,21.61,0.62
109,2018-04-20,80.68,4.51,28.7,0.73
110,2018-04-21,100.21,2.36,13.95,2.28
111,2018-04-22,65.5,8.3,14.55,1.6
112,2018-04-23,99.49,20.27,17.44,1.95
113,2018-04-24,95.2,8.1,23.55,1.11
114,2018-04-25,86.92,5.06,34.08,1.61
115,2018-04-26,80.57,5.21,39.8,1.32
116,2018-04-27,81.91,5.24,24.2,1.02
117,2018-04-28,68.33,3.7,18.55,1.02
118,2018-04-29,69.0,4.42,16.9,0.9
119,2018-04-30,68.22,3.94,21.71,1.25
120,2018-01-05,46.0,3.74,13.82,2.24
121,2018-02-05,52.83,2.33,13.09,1.85
122,2018-03-05,36.62,5.28,17.63,1.7
123,2018-04-05,45.0,1.49,23.08,1.32
124,2018-05-05,68.06,5.1,28.11,1.61
125,2018-06-05,121.78,7.82,39.82,2.09
126,2018-07-05,97.66,5.93,20.87,1.25
127,2018-08-05,35.0,0.67,16.92,0.74
128,2018-09-05,52.8,2.58,19.43,1.14
129,2018-10-05,95.45,5.7,28.84,1.3
130,2018-11-05,120.62,7.7,41.76,1.53
131,2018-12-05,129.74,9.24,33.1,1.5
132,2018-05-13,60.08,6.9,14.24,0.99
133,2018-05-14,38.86,4.86,21.43,0.97
134,2018-05-15,63.0,8.04,26.5,1.26
135,2018-05-16,63.92,6.07,21.46,0.95
136,2018-05-17,87.47,7.85,18.14,0.96
137,2018-05-18,92.92,8.49,23.43,1.04
138,2018-05-19,99.99,7.91,28.55,1.16
139,2018-05-20,67.98,8.35,15.84,0.98
140,2018-05-21,68.23,10.31,15.92,0.94
141,2018-05-22,101.04,11.06,26.98,1.16
142,2018-05-23,122.16,9.41,28.92,1.4
143,2018-05-24,154.41,14.68,21.79,1.09
144,2018-05-25,104.25,8.25,27.74,1.2
145,2018-05-26,96.82,10.41,35.95,1.14
146,2018-05-27,107.88,7.66,31.1,1.05
147,2018-05-28,259.67,2.16,37.54,1.04
148,2018-05-29,68.42,3.14,36.25,0.58
149,2018-05-30,75.12,4.52,12.36,0.98
150,2018-05-31,49.62,4.36,22.6,1.14
151,2018-01-06,70.79,4.76,19.38,1.03
152,2018-02-06,45.58,4.0,17.35,0.9
153,2018-03-06,47.27,5.26,20.16,1.05
154,2018-04-06,62.09,3.95,16.58,1.03
155,2018-05-06,45.89,3.4,17.66,1.08
156,2018-06-06,61.26,6.47,25.58,1.31
157,2018-07-06,57.2,5.19,26.75,1.27
158,2018-08-06,55.23,3.91,17.35,1.11
159,2018-09-06,42.0,3.35,18.48,1.06
160,2018-10-06,58.04,4.16,24.72,1.08
161,2018-11-06,57.64,5.09,29.54,1.1
162,2018-12-06,95.81,7.14,25.96,0.92
163,2018-06-13,166.05,4.77,17.48,0.79
164,2018-06-14,129.05,4.07,13.9,0.8
165,2018-06-15,77.6,3.23,12.68,0.76
166,2018-06-16,54.55,5.58,16.35,0.82
167,2018-06-17,57.31,3.39,16.49,0.95
168,2018-06-18,33.94,3.68,17.08,0.93
169,2018-06-19,36.42,4.56,14.75,0.86
170,2018-06-20,36.24,5.54,17.75,0.9
171,2018-06-21,52.59,8.07,16.5,0.88
172,2018-06-22,50.62,4.94,21.16,1.03
173,2018-06-23,56.99,11.25,27.09,1.07
174,2018-06-24,27.34,8.7,15.06,0.94
175,2018-06-25,0.27,12.45,13.68,1.1
176,2018-06-26,7.86,10.5,15.11,1.1
177,2018-06-27,31.03,6.96,25.04,1.19
178,2018-06-28,13.22,3.25,24.46,1.22
179,2018-06-29,26.0,4.7,22.91,1.1
180,2018-06-30,27.12,3.26,20.11,1.2
181,2018-01-07,24.06,4.24,14.59,1.1
182,2018-02-07,18.22,6.57,13.85,1.0
183,2018-03-07,30.16,5.47,32.07,2.9
184,2018-04-07,35.24,5.92,22.36,1.98
185,2018-05-07,37.57,6.35,25.44,3.95
186,2018-06-07,47.47,6.47,19.32,4.48
187,2018-07-07,52.67,5.47,23.78,4.02
188,2018-08-07,48.64,9.48,32.42,2.46
189,2018-09-07,65.41,5.21,31.16,4.72
190,2018-10-07,42.2,3.54,22.24,2.6
191,2018-11-07,31.25,6.05,21.14,3.45
192,2018-12-07,22.54,6.88,17.14,2.36
193,2018-07-13,20.92,4.36,26.51,2.94
194,2018-07-14,31.46,4.6,38.28,3.3
195,2018-07-15,21.43,3.36,25.32,2.7
196,2018-07-16,26.38,2.88,22.89,2.1
197,2018-07-17,28.84,3.72,25.47,3.7
198,2018-07-18,31.9,3.79,28.52,2.7
199,2018-07-19,32.83,5.24,24.59,3.3
200,2018-07-20,22.52,4.73,19.22,1.65
201,2018-07-21,41.55,4.02,36.13,1.66
202,2018-07-22,13.95,4.51,19.6,1.35
203,2018-07-23,33.25,4.82,21.5,1.01
204,2018-07-24,35.2,4.2,25.87,1.46
205,2018-07-25,13.01,4.02,9.77,1.04
206,2018-07-26,19.03,4.38,12.23,0.87
207,2018-07-27,9.29,4.43,14.52,1.04
208,2018-07-28,16.23,4.62,10.74,1.31
209,2018-07-29,23.83,4.65,10.34,2.21
210,2018-07-30,22.03,4.72,11.91,1.83
211,2018-07-31,28.21,4.83,14.01,0.92
212,2018-01-08,32.1,5.3,14.29,1.4
213,2018-02-08,41.65,4.57,12.73,1.87
214,2018-03-08,34.2,3.98,12.4,1.11
215,2018-04-08,40.32,7.23,17.9,1.63
216,2018-05-08,34.86,6.83,15.67,1.52
217,2018-06-08,38.71,5.27,41.14,1.56
218,2018-07-08,38.58,6.58,28.88,1.55
219,2018-08-08,21.39,4.92,20.52,1.12
220,2018-09-08,30.91,3.53,28.2,1.34
221,2018-10-08,33.65,4.08,26.77,0.91
222,2018-11-08,15.71,5.38,12.17,0.84
223,2018-12-08,12.24,6.21,14.55,1.1
224,2018-08-13,19.67,4.36,23.61,1.31
225,2018-08-14,30.85,5.4,28.69,1.99
226,2018-08-15,28.1,4.21,22.36,1.07
227,2018-08-16,25.39,4.16,33.15,1.2
228,2018-08-17,28.66,3.93,34.81,1.1
229,2018-08-18,27.2,4.49,32.72,1.14
230,2018-08-19,41.33,6.13,35.95,1.3
231,2018-08-20,53.75,3.55,31.68,1.47
232,2018-08-21,25.18,4.22,24.53,1.23
233,2018-08-22,21.57,5.31,23.69,1.26
234,2018-08-23,13.07,4.02,14.52,1.3
235,2018-08-24,7.73,3.75,14.4,1.52
236,2018-08-25,6.91,2.71,11.62,0.47
237,2018-08-26,13.12,2.72,15.42,0.8
238,2018-08-27,23.23,3.96,25.23,1.06
239,2018-08-28,16.52,3.23,24.53,1.3
240,2018-08-29,11.65,3.57,17.95,0.94
241,2018-08-30,19.17,4.77,18.78,1.17
242,2018-08-31,24.81,5.92,14.03,1.14
243,2018-01-09,17.47,5.6,17.86,1.21
244,2018-02-09,20.31,6.78,16.75,1.18
245,2018-03-09,36.48,5.53,33.35,1.44
246,2018-04-09,29.61,7.01,20.68,1.19
247,2018-05-09,16.9,7.18,13.56,0.85
248,2018-06-09,16.01,5.31,13.53,0.92
249,2018-07-09,19.02,4.79,21.95,1.29
250,2018-08-09,19.79,3.83,28.15,1.37
251,2018-09-09,10.31,4.84,14.75,1.2
252,2018-10-09,23.74,4.67,19.63,1.26
253,2018-11-09,10.34,3.4,11.69,1.11
254,2018-12-09,11.45,3.04,11.44,1.06
255,2018-09-13,9.15,5.41,12.01,1.04
256,2018-09-14,17.34,4.93,17.41,1.08
257,2018-09-15,18.5,3.53,18.56,1.04
258,2018-09-16,28.79,4.78,22.33,1.12
259,2018-09-17,46.42,4.86,20.27,1.23
260,2018-09-18,40.04,6.75,19.15,1.14
261,2018-09-19,45.12,6.09,21.0,1.24
262,2018-09-20,56.77,6.55,23.55,1.37
263,2018-09-21,35.9,4.73,29.31,1.23
264,2018-09-22,15.64,3.95,22.18,0.99
265,2018-09-23,21.6,4.49,16.59,0.73
266,2018-09-24,8.47,1.71,13.27,1.19
267,2018-09-25,8.59,2.75,10.98,1.01
268,2018-09-26,19.38,4.12,14.12,1.1
269,2018-09-27,40.09,5.94,17.89,1.23
270,2018-09-28,47.97,6.94,17.12,1.5
271,2018-09-29,54.38,10.58,18.55,1.42
272,2018-09-30,47.84,6.03,14.16,1.26
273,2018-01-10,48.56,6.31,15.19,1.2
274,2018-02-10,40.8,3.8,13.85,1.19
275,2018-03-10,36.69,6.41,13.98,1.09
276,2018-04-10,70.12,6.99,17.19,1.34
277,2018-05-10,108.55,13.72,24.28,1.69
278,2018-06-10,64.36,5.95,17.5,1.35
279,2018-07-10,57.1,7.5,15.67,1.27
280,2018-08-10,94.19,9.87,28.09,1.7
281,2018-09-10,99.33,15.51,30.83,1.66
282,2018-10-10,82.12,6.96,21.0,1.57
283,2018-11-10,83.0,5.98,21.17,1.36
284,2018-12-10,59.91,8.45,19.83,1.26
285,2018-10-13,88.26,7.68,16.07,1.29
286,2018-10-14,74.77,5.99,15.45,1.25
287,2018-10-15,92.16,7.66,22.46,1.51
288,2018-10-16,106.67,8.55,30.82,2.02
289,2018-10-17,87.38,6.06,20.34,1.49
290,2018-10-18,92.97,7.29,21.92,1.68
291,2018-10-19,111.44,10.21,18.48,1.57
292,2018-10-20,154.88,17.87,18.17,1.53
293,2018-10-21,124.23,14.48,15.94,1.38
294,2018-10-22,87.81,6.87,15.37,1.34
295,2018-10-23,95.33,12.71,21.1,1.47
296,2018-10-24,133.22,11.8,30.48,1.94
297,2018-10-25,176.61,16.6,38.76,2.53
298,2018-10-26,201.52,14.3,26.65,2.28
299,2018-10-27,164.6,18.4,19.7,1.82
300,2018-10-28,178.02,9.62,17.06,1.79
301,2018-10-29,182.73,7.68,18.3,1.77
302,2018-10-30,200.46,10.59,37.0,1.71
303,2018-10-31,210.65,14.92,46.69,1.93
304,2018-01-11,213.81,12.49,50.57,1.96
305,2018-02-11,180.31,19.81,48.55,1.74
306,2018-03-11,150.33,12.13,37.68,1.23
307,2018-04-11,112.97,10.26,16.32,0.9
308,2018-05-11,257.8,9.58,16.05,1.27
309,2018-06-11,158.86,8.42,10.61,0.89
310,2018-07-11,107.14,9.8,10.16,1.01
311,2018-08-11,223.9,13.02,18.87,0.79
312,2018-09-11,228.03,10.77,11.79,1.44
313,2018-10-11,255.71,11.47,26.66,1.84
314,2018-11-11,217.04,10.86,30.65,2.22
315,2018-12-11,226.35,10.97,32.99,1.84
316,2018-11-13,225.85,12.17,38.33,2.31
317,2018-11-14,116.77,6.92,33.37,1.66
318,2018-11-15,103.58,10.31,21.72,0.94
319,2018-11-16,150.06,8.66,8.53,3.34
320,2018-11-17,120.6,7.77,8.51,2.75
321,2018-11-18,142.82,11.79,17.68,1.35
322,2018-11-19,146.98,10.75,14.04,1.18
323,2018-11-20,236.04,12.22,16.32,1.41
324,2018-11-21,162.54,9.29,9.64,1.23
325,2018-11-22,117.38,10.74,12.27,0.92
326,2018-11-23,145.4,7.27,7.93,1.09
327,2018-11-24,99.85,7.61,5.56,2.64
328,2018-11-25,102.23,9.09,7.99,3.38
329,2018-11-26,145.95,10.37,8.09,2.26
330,2018-11-27,152.65,10.97,12.64,1.45
331,2018-11-28,149.26,9.89,10.25,2.65
332,2018-11-29,158.49,8.06,7.97,1.47
333,2018-11-30,160.96,9.0,34.43,1.46
334,2018-01-12,117.17,5.76,51.88,0.91
335,2018-02-12,108.83,12.4,53.06,0.89
336,2018-03-12,135.77,8.83,42.31,1.05
337,2018-04-12,147.39,9.32,56.22,1.17
338,2018-05-12,141.42,9.74,89.55,0.71
339,2018-06-12,158.53,11.22,59.45,1.21
340,2018-07-12,170.58,10.79,45.44,1.18
341,2018-08-12,166.66,9.06,60.63,1.49
342,2018-09-12,184.58,12.97,53.09,2.05
343,2018-10-12,241.18,12.94,54.58,2.32
344,2018-11-12,247.99,8.91,50.83,1.94
345,2018-12-12,194.19,8.8,39.61,1.57
346,2018-12-13,95.17,9.59,31.45,1.17
347,2018-12-14,97.85,7.65,27.36,0.71
348,2018-12-15,106.19,7.03,25.95,0.77
349,2018-12-16,115.45,10.872,25.97,0.6
350,2018-12-17,153.71,9.51,28.87,0.96
351,2018-12-18,169.76,13.65,28.85,0.76
352,2018-12-19,148.63,9.62,43.87,0.95
