,date,PM2.5,SO2,NO2,CO
0,2018-01-01,434.49,24.15,133.32,3.7
1,2018-02-01,349.56,11.48,101.94,1.92
2,2018-03-01,284.05,11.05,83.31,1.53
3,2018-04-01,349.5,18.67,132.92,2.47
4,2018-05-01,273.71,17.74,108.12,1.96
5,2018-06-01,299.57,14.74,133.79000000000002,3.45
6,2018-07-01,252.12,20.21,59.898,1.6
7,2018-08-01,194.59,23.01,105.69,1.84
8,2018-09-01,280.82,24.59,112.97,2.19
9,2018-10-01,298.14,26.83,105.85,1.43
10,2018-11-01,176.72,20.35,106.25,1.5
11,2018-12-01,206.65,37.19,113.18,1.71
12,2018-01-13,196.7,25.13,117.53,2.94
13,2018-01-14,287.1,33.16,107.37,2.58
14,2018-01-15,248.54,24.06,105.33,1.69
15,2018-01-16,163.37,27.76,110.25,1.28
16,2018-01-17,260.8,12.32,138.94,2.9
17,2018-01-18,341.22,26.11,134.92,3.58
18,2018-01-19,350.56,19.53,111.61,2.4
19,2018-01-20,240.04,18.26,87.3,1.0
20,2018-01-21,181.34,24.9,124.55,2.74
21,2018-01-22,237.05,26.13,140.61,2.31
22,2018-01-23,190.02,18.41,123.42,1.32
23,2018-01-24,180.3,15.26,90.1,1.2
24,2018-01-25,159.22,10.1,70.96,1.18
25,2018-01-26,166.77,8.21,70.05,1.2
26,2018-01-27,217.62,10.17,81.22,1.61
27,2018-01-28,186.92,10.38,87.2,1.73
28,2018-01-29,216.25,12.36,90.53,1.7
29,2018-01-30,161.76,16.21,87.94,1.06
30,2018-01-31,149.25,13.88,82.35,1.06
31,2018-01-02,214.78,34.09,101.92,1.63
32,2018-02-02,145.79,20.62,92.63,1.03
33,2018-03-02,119.7,18.49,95.74,0.88
34,2018-04-02,138.78,22.46,84.3,1.03
35,2018-05-02,168.93,23.02,103.69,1.15
36,2018-06-02,142.5,24.14,97.28,1.14
37,2018-07-02,134.44,25.14,91.52,1.15
38,2018-08-02,201.86,21.17,114.39,1.9
39,2018-09-02,205.19,21.37,127.84,2.17
40,2018-10-02,226.78,17.63,153.09,4.78
41,2018-11-02,133.12,16.03,128.85,2.83
42,2018-12-02,66.73,21.61,103.81,2.02
43,2018-02-13,108.79,17.37,124.57,2.41
44,2018-02-14,78.17,13.06,112.91,1.94
45,2018-02-15,88.79,18.78,112.19,2.19
46,2018-02-16,134.57,18.44,128.94,2.86
47,2018-02-17,149.62,31.45,126.34,3.23
48,2018-02-18,148.11,25.82,125.36,4.19
49,2018-02-19,200.42,36.2,125.56,4.26
50,2018-02-20,180.5,20.88,139.05,4.36
51,2018-02-21,171.52,18.0,134.21,4.43
52,2018-02-22,180.21,25.64,98.48,2.47
53,2018-02-23,155.05,24.99,99.34,1.99
54,2018-02-24,161.91,24.05,111.03,1.72
55,2018-02-25,94.59,17.08,69.76,0.74
56,2018-02-26,61.0,18.54,54.97,0.62
57,2018-02-27,93.37,22.3,90.2,1.04
58,2018-02-28,162.71,19.27,106.06,1.28
59,2018-01-03,122.72,21.47,78.6,1.29
60,2018-02-03,138.21,20.41,82.58,1.8
61,2018-03-03,115.61,22.24,75.77,1.19
62,2018-04-03,76.95,22.96,67.52,0.72
63,2018-05-03,83.95,25.49,61.14,0.68
64,2018-06-03,86.71,28.74,60.98,0.79
65,2018-07-03,95.17,25.96,68.27,1.11
66,2018-08-03,145.39,29.81,121.07,2.61
67,2018-09-03,129.23,29.59,93.33,1.42
68,2018-10-03,77.64,28.59,64.48,0.71
69,2018-11-03,100.61,27.16,68.64,1.14
70,2018-12-03,112.32,30.67,74.64,0.95
71,2018-03-13,112.89,35.77,83.72,1.8
72,2018-03-14,88.17,28.15,90.09,1.77
73,2018-03-15,83.51,24.27,79.73,1.13
74,2018-03-16,110.33,33.71,66.71,0.95
75,2018-03-17,112.61,24.93,57.65,0.73
76,2018-03-18,57.14,23.7,60.51,0.64
77,2018-03-19,77.88,24.5,70.28,0.88
78,2018-03-20,124.46,36.73,96.83,1.85
79,2018-03-21,118.15,39.78,75.74,1.19
80,2018-03-22,72.27,24.22,61.78,0.82
81,2018-03-23,60.28,20.67,57.29,0.57
82,2018-03-24,79.85,23.92,58.31,0.68
83,2018-03-25,84.95,24.47,53.04,0.78
84,2018-03-26,80.7,24.75,65.69,0.8
85,2018-03-27,119.65,28.9,71.37,1.55
86,2018-03-28,97.35,24.92,78.38,1.95
87,2018-03-29,90.75,28.36,60.96,0.79
88,2018-03-30,95.9,26.4,63.59,0.95
89,2018-03-31,92.09,28.06,75.5,0.93
90,2018-01-04,61.15,23.47,72.12,0.95
91,2018-02-04,78.1,24.77,86.93,1.23
92,2018-03-04,90.54,25.09,90.1,1.23
93,2018-04-04,101.04,27.01,93.52,1.72
94,2018-05-04,164.83,46.15,89.96,1.39
95,2018-06-04,74.72,34.37,79.12,0.82
96,2018-07-04,43.93,17.42,72.4,0.63
97,2018-08-04,44.26,17.23,67.72,0.62
98,2018-09-04,48.96,21.06,62.5,1.11
99,2018-10-04,85.88,20.97,67.46,1.2
100,2018-11-04,42.39,22.4,62.61,0.61
101,2018-12-04,45.84,25.57,65.73,0.93
102,2018-04-13,74.58,26.23,71.38,1.13
103,2018-04-14,101.94,34.77,88.72,1.59
104,2018-04-15,130.85,38.45,76.23,1.6
105,2018-04-16,113.26,42.1,93.31,1.51
106,2018-04-17,67.02,30.79,73.36,0.9
107,2018-04-18,64.89,36.28,60.82,0.55
108,2018-04-19,97.06,36.35,66.97,0.8
109,2018-04-20,98.15,35.66,52.62,0.49
110,2018-04-21,121.11,32.15,49.49,0.51
111,2018-04-22,68.79,39.51,51.16,0.55
112,2018-04-23,91.43,34.61,58.29,0.89
113,2018-04-24,129.04,39.95,71.57,1.4
114,2018-04-25,113.65,30.56,77.44,1.65
115,2018-04-26,121.17,40.28,86.91,1.9
116,2018-04-27,87.33,29.58,84.12,1.01
117,2018-04-28,75.57,31.95,75.58,0.93
118,2018-04-29,91.46,35.83,79.16,0.91
119,2018-04-30,67.81,28.88,79.24,0.91
120,2018-01-05,46.8,26.98,64.12,0.73
121,2018-02-05,64.96,24.61,56.9,0.7
122,2018-03-05,48.0,31.26,60.46,0.66
123,2018-04-05,49.78,30.02,69.28,0.8
124,2018-05-05,83.93,31.57,94.19,1.31
125,2018-06-05,124.39,37.01,100.76,1.49
126,2018-07-05,127.64,37.35,92.7,1.18
127,2018-08-05,51.24,23.01,42.53,0.48
128,2018-09-05,75.88,32.49,103.12,1.13
129,2018-10-05,119.89,30.51,94.88,1.35
130,2018-11-05,170.96,44.54,126.68,1.71
131,2018-12-05,158.03,51.11,130.21,1.72
132,2018-05-13,95.18,34.72,53.3,0.73
133,2018-05-14,55.55,27.94,79.61,0.75
134,2018-05-15,73.5,33.6,87.58,1.15
135,2018-05-16,103.7,27.05,72.91,0.78
136,2018-05-17,125.52,34.62,85.28,1.02
137,2018-05-18,101.04,37.77,99.51,1.19
138,2018-05-19,130.83,36.04,109.34,1.46
139,2018-05-20,89.04,32.96,72.98,0.87
140,2018-05-21,73.41,28.03,80.95,0.68
141,2018-05-22,101.74,41.63,108.46,1.71
142,2018-05-23,121.87,47.35,128.95,1.87
143,2018-05-24,124.21,51.7,102.29,0.99
144,2018-05-25,112.84797385620914,18.916114457831327,58.17070279928529,1.440453190220632
145,2018-05-26,94.99,37.92,100.0,1.57
146,2018-05-27,100.95,29.82,93.46,1.0
147,2018-05-28,123.95,45.25,121.66,1.7
148,2018-05-29,116.12,34.51,102.72,1.29
149,2018-05-30,59.07,25.55,55.28,0.69
150,2018-05-31,72.07,32.67,79.57,0.95
151,2018-01-06,64.05,31.95,57.1,0.72
152,2018-02-06,112.84797385620914,18.916114457831327,58.17070279928529,1.440453190220632
153,2018-03-06,60.05,35.62,77.8,1.05
154,2018-04-06,61.37,36.01,64.98,0.83
155,2018-05-06,52.01,25.16,61.99,0.85
156,2018-06-06,57.26,31.69,63.97,0.99
157,2018-07-06,68.08,30.91,73.95,0.94
158,2018-08-06,69.03,24.32,59.83,0.87
159,2018-09-06,54.1,22.39,42.72,0.73
160,2018-10-06,52.46,17.69,45.51,0.79
161,2018-11-06,62.22,20.48,43.24,0.53
162,2018-12-06,130.29,19.43,34.58,0.46
163,2018-06-13,214.92,11.13,23.67,0.32
164,2018-06-14,166.87,13.6,21.3,0.32
165,2018-06-15,110.9,10.45,32.58,0.46
166,2018-06-16,96.59,11.11,44.18,0.71
167,2018-06-17,80.02,16.25,37.53,0.53
168,2018-06-18,41.3,11.84,46.81,0.66
169,2018-06-19,47.1,11.76,46.33,0.56
170,2018-06-20,64.83,17.62,65.85,0.77
171,2018-06-21,68.08,19.71,66.18,0.85
172,2018-06-22,70.92,12.58,73.68,0.92
173,2018-06-23,72.47,17.08,70.92,0.9
174,2018-06-24,51.3,17.88,56.41,0.7
175,2018-06-25,46.46,2.62,60.13,0.68
176,2018-06-26,11.93,10.32,36.02,0.52
177,2018-06-27,48.8,6.57,49.33,0.68
178,2018-06-28,29.22,9.68,47.57,0.75
179,2018-06-29,49.83,9.83,55.78,0.97
180,2018-06-30,53.02,7.32,44.34,0.8
181,2018-01-07,30.04,14.73,30.8,0.63
182,2018-02-07,33.12,14.05,25.99,0.55
183,2018-03-07,42.26,12.9,56.17,0.81
184,2018-04-07,46.83,13.1,49.69,0.72
185,2018-05-07,46.57,9.95,50.17,0.8
186,2018-06-07,48.39,7.8,44.29,0.61
187,2018-07-07,60.29,14.71,48.9,0.76
188,2018-08-07,66.28,14.75,60.72,0.76
189,2018-09-07,153.27,12.44,52.02,0.96
190,2018-10-07,89.88,11.9,43.26,0.73
191,2018-11-07,44.67,15.08,44.5,0.82
192,2018-12-07,50.95,14.05,41.76,0.64
193,2018-07-13,34.25,13.06,41.64,0.84
194,2018-07-14,46.5,5.96,45.9,0.86
195,2018-07-15,117.79,12.98,40.19,0.7
196,2018-07-16,44.12,11.41,45.21,1.01
197,2018-07-17,38.52,8.85,45.69,0.98
198,2018-07-18,41.48,13.23,39.99,0.73
199,2018-07-19,88.83,7.36,41.05,0.84
200,2018-07-20,46.3,11.65,42.9,0.85
201,2018-07-21,136.23,8.19,45.19,1.05
202,2018-07-22,68.8,10.01,35.83,0.74
203,2018-07-23,44.53,7.93,35.18,0.74
204,2018-07-24,57.43,10.01,46.37,0.98
205,2018-07-25,197.81,15.08,26.83,0.55
206,2018-07-26,237.26,12.59,32.28,0.71
207,2018-07-27,62.16,13.81,35.79,0.71
208,2018-07-28,311.71,15.02,35.14,0.8
209,2018-07-29,46.17,16.01,31.61,0.67
210,2018-07-30,40.04,15.31,32.14,0.63
211,2018-07-31,45.59,11.53,39.65,0.58
212,2018-01-08,52.36,18.43,35.3,0.64
213,2018-02-08,65.05,26.34,25.95,0.52
214,2018-03-08,56.65,18.19,18.47,0.53
215,2018-04-08,63.06,13.61,18.98,0.51
216,2018-05-08,59.64,13.72,17.01,0.47
217,2018-06-08,54.26,13.75,28.0,0.79
218,2018-07-08,60.47,16.7,30.83,0.98
219,2018-08-08,45.49,15.27,28.59,1.04
220,2018-09-08,43.0,15.91,27.36,0.82
221,2018-10-08,46.25,18.65,35.1,0.95
222,2018-11-08,30.77,14.64,19.21,0.5
223,2018-12-08,23.13,17.82,27.04,0.43
224,2018-08-13,31.65,12.82,38.5,0.63
225,2018-08-14,48.88,19.26,48.36,0.81
226,2018-08-15,46.8,12.46,30.56,0.52
227,2018-08-16,47.7,20.81,46.9,1.24
228,2018-08-17,34.95,18.03,36.68,0.77
229,2018-08-18,35.94,17.43,38.85,0.84
230,2018-08-19,62.06,16.91,53.52,1.08
231,2018-08-20,68.06,15.91,54.31,1.13
232,2018-08-21,33.16,16.78,44.38,0.91
233,2018-08-22,31.69,18.1,42.71,1.02
234,2018-08-23,151.39,17.84,31.57,0.76
235,2018-08-24,22.43,16.31,25.9,0.73
236,2018-08-25,18.97,18.97,21.75,0.51
237,2018-08-26,20.45,18.15,23.6,0.49
238,2018-08-27,25.43,14.82,36.38,0.9
239,2018-08-28,39.62,19.95,31.64,0.98
240,2018-08-29,232.23,20.65,30.76,0.89
241,2018-08-30,40.43,17.6,25.53,1.09
242,2018-08-31,45.47,14.42,20.2,0.86
243,2018-01-09,48.89,18.6,24.57,1.18
244,2018-02-09,52.0,14.08,17.98,0.76
245,2018-03-09,49.05,15.61,25.73,1.25
246,2018-04-09,66.89,14.95,26.38,1.19
247,2018-05-09,76.98,10.42,16.77,0.98
248,2018-06-09,271.49,15.26,15.81,0.91
249,2018-07-09,198.73,16.06,21.47,1.13
250,2018-08-09,118.75,12.8,18.38,1.01
251,2018-09-09,234.7,12.71,14.25,0.6
252,2018-10-09,107.07,18.25,17.07,0.8
253,2018-11-09,64.94,13.86,9.5,0.57
