date,open_NO2,sate_NO2,"Alandi, Pune - IITM","Bhosari, Pune - IITM","Hadapsar, Pune - IITM","Karve Road, Pune - MPCB","Mhada Colony, Pune - IITM","MIT-Kothrud, Pune - IITM","Revenue Colony-Shivajinagar, Pune - IITM"
2020-11-24,36.5875,4108302000000000.0,21.72,21.72,21.72,21.72,21.72,21.72,21.72
2020-11-25,44.08541666666667,4670544000000000.0,17.05,17.05,17.05,17.05,17.05,17.05,17.05
2020-11-26,28.830416666666665,4648470000000000.0,11.54,11.54,11.54,11.54,11.54,11.54,11.54
2020-11-27,6.664583333333333,4377056000000000.0,9.46,9.46,9.46,9.46,9.46,9.46,9.46
2020-11-28,8.325,4846894000000000.0,8.03,8.03,8.03,8.03,8.03,8.03,8.03
2020-11-29,27.5825,3238280000000000.0,3.38,3.38,3.38,3.38,3.38,3.38,3.38
2020-11-30,34.464166666666664,4453758000000000.0,7.43,7.43,7.43,7.43,7.43,7.43,7.43
2020-12-01,39.44541666666666,4052020000000000.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2020-12-02,38.74916666666668,3856348000000000.0,6.74,6.74,6.74,6.74,6.74,6.74,6.74
2020-12-03,53.96458333333333,5339690000000000.0,7.36,41.0,67.48,41.0,41.0,41.0,41.0
2020-12-04,53.080000000000005,4288120000000000.0,22.07,12.13,12.13,12.13,12.13,12.13,12.13
2020-12-05,35.403333333333336,4945520000000000.0,26.29,39.46,54.41,65.97,54.41,65.97,65.97
2020-12-06,37.952916666666674,4443380000000000.0,24.03,33.97,108.58,83.4,108.58,83.4,83.4
2020-12-07,30.681666666666672,4179580000000000.0,17.95,37.26,50.47,69.06,50.47,69.06,69.06
2020-12-08,43.51375,4316440000000000.0,11.26,34.44,49.97,14.85,49.97,14.85,60.38
2020-12-09,43.92,4139850000000000.0,8.65,18.32,26.03,10.75,26.03,10.75,48.84
2020-12-10,43.37666666666666,4623640000000000.0,12.83,17.53,25.84,11.33,25.84,11.33,52.61
2020-12-11,36.50041666666666,4090398000000000.0,15.58,15.58,43.32,16.46,43.32,16.46,71.6
2020-12-12,22.557916666666667,4778724000000000.0,23.2,23.2,44.84,19.05,44.84,19.05,62.27
2020-12-13,32.95208333333334,3239923800000000.0,22.86,22.86,38.65,18.19,38.65,18.19,48.26
2020-12-14,47.66083333333333,4465898000000000.0,23.38,23.38,69.96,17.37,69.96,17.37,56.02
2020-12-15,30.364166666666677,4755100000000000.0,28.83,28.83,45.34,20.5,45.34,20.5,58.9
2020-12-16,31.46125,4820822000000000.0,22.56,22.56,46.77,19.83,46.77,19.83,81.05
2020-12-17,28.7075,5559880000000000.0,21.51,21.51,48.61,17.98,48.61,17.98,88.59
2020-12-18,34.566250000000004,5113304000000000.0,22.6,22.6,99.52,19.8,99.52,19.8,69.18
2020-12-19,26.885416666666668,4353190000000000.0,57.18,57.18,38.98,24.66,38.98,24.66,24.66
2020-12-20,31.70333333333333,4333116000000000.0,38.74,38.74,38.74,20.36,38.74,20.36,96.56
2020-12-21,38.01500000000001,4340600000000000.0,50.47,50.47,50.47,21.55,50.47,21.55,99.82
2020-12-22,46.21541666666667,5041370000000000.0,72.3,72.3,72.3,23.42,72.3,23.42,91.75
2020-12-23,51.24416666666667,4360810000000000.0,24.71,24.71,84.68,26.49,84.68,26.49,89.71
2020-12-24,44.73708333333333,5084450000000000.0,20.71,20.71,90.74,21.28,90.74,21.28,90.71
2020-12-25,34.26916666666667,4015394000000000.0,65.19,65.19,65.19,22.09,65.19,22.09,87.11
2020-12-26,40.821666666666665,4749150000000000.0,21.77,21.77,52.07,27.39,52.07,27.39,95.17
2020-12-27,33.46999999999999,4806822000000000.0,20.73,20.73,72.1,18.78,72.1,18.78,60.58
2020-12-28,37.24416666666667,4721390000000000.0,15.45,15.45,66.28,18.36,66.28,18.36,56.07
2020-12-29,50.195000000000014,3144671800000000.0,20.58,20.58,68.67,16.3,68.67,16.3,57.37
2020-12-30,46.60708333333332,4824930000000000.0,60.15,60.15,60.15,22.38,60.15,22.38,44.78
2020-12-31,32.03416666666667,5561710000000000.0,27.02,36.53,37.6,24.83,37.6,24.83,24.83
2021-01-01,33.399166666666666,4397118000000000.0,24.85,35.85,30.57,21.52,30.57,21.52,21.52
2021-01-02,41.60625,4468570000000000.0,26.03,37.19,29.83,19.93,29.83,19.93,19.93
2021-01-03,36.934583333333336,5280416000000000.0,42.93,42.93,37.03,22.03,37.03,22.03,22.03
2021-01-04,27.03625000000001,4114048000000000.0,27.27,30.11,31.79,18.97,31.79,18.97,18.97
2021-01-05,33.73083333333333,4700292000000000.0,25.84,26.68,28.45,16.86,28.45,16.86,16.86
2021-01-06,37.68625,4468450000000000.0,23.25,42.72,42.88,17.3,42.88,17.3,17.3
2021-01-07,23.413333333333338,5135570000000000.0,33.17,33.17,67.56,14.97,67.56,14.97,14.97
2021-01-08,30.16708333333333,4840756000000000.0,26.96,26.52,33.51,8.67,33.51,8.67,8.67
2021-01-09,23.09875,3939410000000000.0,24.88,28.94,38.22,15.14,38.22,15.14,15.14
2021-01-10,22.769583333333333,4646132000000000.0,28.75,32.37,62.47,13.91,62.47,13.91,13.91
2021-01-11,27.707916666666662,4867840000000000.0,22.94,32.78,33.37,13.89,33.37,13.89,13.89
2021-01-12,31.881249999999994,3837134000000000.0,22.27,40.94,28.5,18.76,49.4,22.52,22.52
2021-01-13,33.225,4615290000000000.0,28.08,38.24,25.14,14.81,59.05,22.41,61.8
2021-01-14,45.50375,4159168000000000.0,26.65,32.13,25.4,14.28,99.9,12.43,12.43
2021-01-15,44.71916666666667,4208330000000000.0,20.25,31.1,55.11,12.7,55.11,22.48,54.26
2021-01-16,35.14166666666666,4905290000000000.0,23.66,33.81,59.35,14.81,59.35,22.5,57.21
2021-01-17,34.90916666666667,4490504000000000.0,23.55,23.55,60.05,13.75,60.05,22.47,59.0
2021-01-18,30.30125,5068080000000000.0,20.04,31.56,56.7,16.34,56.7,22.48,66.19
2021-01-19,36.58916666666667,5063732000000000.0,22.69,66.41,61.28,16.95,61.28,22.49,47.52
2021-01-20,30.9375,5502490000000000.0,20.21,26.19,66.38,12.98,66.38,22.55,34.93
2021-01-21,42.35458333333333,5051940000000000.0,18.84,24.91,117.93,9.09,117.93,22.55,35.23
2021-01-22,59.53833333333333,4927660000000000.0,24.48,34.74,146.98,17.24,146.98,22.49,55.37
2021-01-23,38.196666666666665,4803840000000000.0,24.18,24.18,169.26,17.26,169.26,22.53,43.41
2021-01-24,26.17375,6778302000000000.0,20.04,20.04,32.74,16.31,127.18,22.48,48.01
2021-01-25,37.18666666666666,5817680000000000.0,20.41,36.7,28.85,17.03,144.6,22.4,42.2
2021-01-26,32.563,4433034000000000.0,35.77,31.52,28.14,14.14,133.27,22.59,39.0
2021-01-27,73.6875,5129960000000000.0,23.22,57.27,28.13,14.03,144.67,22.47,48.14
2021-01-28,39.26041666666666,3966148000000000.0,26.55,183.4,102.9,22.46,102.9,22.46,43.58
2021-01-29,35.59333333333334,4661480000000000.0,20.92,20.92,182.6,21.49,182.6,22.12,52.1
2021-01-30,24.272916666666664,4910812000000000.0,21.74,21.74,87.43,27.73,87.43,22.5,43.72
2021-01-31,25.08333333333333,5776440000000000.0,25.46,25.46,56.89,28.62,56.89,22.13,56.89
2021-02-01,31.2375,4546570000000000.0,22.02,22.02,63.69,32.03,63.69,22.11,22.11
2021-02-02,38.16,4420488000000000.0,15.94,15.94,60.68,29.39,60.68,12.31,77.71
2021-02-03,50.70416666666667,4244680000000000.0,19.09,19.09,80.18,27.97,80.18,22.08,75.99
2021-02-04,47.867916666666666,4455462000000000.0,19.75,19.75,79.79,26.92,79.79,12.26,86.91
2021-02-05,21.675,4726830000000000.0,10.02,10.02,33.97,24.17,91.9,11.88,49.25
2021-02-06,21.45083333333333,4136644000000000.0,10.36,10.36,26.69,27.25,69.09,22.02,68.93
2021-02-07,31.85000000000001,4697260000000000.0,11.5,11.5,27.08,26.76,47.87,22.54,79.19
2021-02-08,35.792500000000004,4887910000000000.0,54.34,54.34,20.05,32.01,54.34,11.98,97.35
2021-02-09,44.165416666666665,6182830000000000.0,69.16,69.16,30.4,34.16,79.27,22.48,98.99
2021-02-10,57.37541666666667,6398960000000000.0,15.04,15.04,109.19,29.54,109.19,22.5,74.51
2021-02-11,52.72625000000002,4124470000000000.0,22.54,22.54,33.11,27.13,97.86,22.54,81.3
