,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,316.42,4.91,32.78,1.05
1,02-01-2018 00:00,03-01-2018 00:00,362.25,4.89,33.0,1.02
2,03-01-2018 00:00,04-01-2018 00:00,231.58,5.12,38.71,1.11
3,04-01-2018 00:00,05-01-2018 00:00,195.54,4.79,44.11,0.95
4,05-01-2018 00:00,06-01-2018 00:00,230.04,5.06,52.0,1.07
5,06-01-2018 00:00,07-01-2018 00:00,227.92,4.87,44.1,1.0
6,07-01-2018 00:00,08-01-2018 00:00,189.96,4.99,45.08,0.98
7,08-01-2018 00:00,09-01-2018 00:00,185.12,5.01,42.5,1.08
8,09-01-2018 00:00,10-01-2018 00:00,0.41,5.32,39.52,1.12
9,10-01-2018 00:00,11-01-2018 00:00,26.53,5.1,10.26,0.99
10,11-01-2018 00:00,12-01-2018 00:00,38.76,3.82,19.78,1.04
11,12-01-2018 00:00,13-01-2018 00:00,39.87,3.6,8.58,1.02
12,13-01-2018 00:00,14-01-2018 00:00,48.96,3.93,11.26,1.0
13,14-01-2018 00:00,15-01-2018 00:00,35.14,3.29,12.64,1.04
14,15-01-2018 00:00,16-01-2018 00:00,45.6,3.3,13.51,1.01
15,16-01-2018 00:00,17-01-2018 00:00,55.74,3.95,14.9,0.96
16,17-01-2018 00:00,18-01-2018 00:00,63.93,4.34,10.2,1.01
17,18-01-2018 00:00,19-01-2018 00:00,51.36,3.41,7.44,1.04
18,19-01-2018 00:00,20-01-2018 00:00,99.51,4.1,16.21,1.05
19,20-01-2018 00:00,21-01-2018 00:00,37.8,4.09,24.92,1.13
20,21-01-2018 00:00,22-01-2018 00:00,34.96,3.56,19.97,1.0
21,22-01-2018 00:00,23-01-2018 00:00,42.42,3.77,22.76,1.11
22,23-01-2018 00:00,24-01-2018 00:00,58.13,4.46,23.2,1.16
23,24-01-2018 00:00,25-01-2018 00:00,57.0,4.08,22.01,1.14
24,25-01-2018 00:00,26-01-2018 00:00,45.31,2.94,14.67,1.08
25,26-01-2018 00:00,27-01-2018 00:00,49.09,3.82,14.3,1.09
26,27-01-2018 00:00,28-01-2018 00:00,62.14,4.17,18.06,1.21
27,28-01-2018 00:00,29-01-2018 00:00,46.41,3.89,12.22,1.19
28,29-01-2018 00:00,30-01-2018 00:00,42.15,3.92,13.41,1.48
29,30-01-2018 00:00,31-01-2018 00:00,65.31,3.67,16.98,1.08
30,31-01-2018 00:00,01-02-2018 00:00,59.1,3.86,18.13,1.1
31,01-02-2018 00:00,02-02-2018 00:00,50.32,4.65,21.39,1.12
32,02-02-2018 00:00,03-02-2018 00:00,39.3,2.33,16.91,1.04
33,03-02-2018 00:00,04-02-2018 00:00,33.78,2.3,14.75,1.45
