,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,65.77,3.48,8.98,3.64
1,02-01-2018 00:00,03-01-2018 00:00,62.75,3.31,7.37,2.14
2,03-01-2018 00:00,04-01-2018 00:00,57.58,6.1,10.5,2.19
3,04-01-2018 00:00,05-01-2018 00:00,68.36,5.13,17.29,2.18
4,05-01-2018 00:00,06-01-2018 00:00,74.49,7.48,15.07,2.5
5,06-01-2018 00:00,07-01-2018 00:00,84.76,8.46,15.95,2.82
6,07-01-2018 00:00,08-01-2018 00:00,76.57,6.43,9.84,1.49
7,08-01-2018 00:00,09-01-2018 00:00,72.44,6.93,18.58,2.2
8,09-01-2018 00:00,10-01-2018 00:00,82.62,6.12,17.92,1.73
9,10-01-2018 00:00,11-01-2018 00:00,77.68,7.24,15.56,1.32
10,11-01-2018 00:00,12-01-2018 00:00,50.91,5.39,16.05,1.25
11,12-01-2018 00:00,13-01-2018 00:00,51.95,4.7,15.32,2.39
12,13-01-2018 00:00,14-01-2018 00:00,47.43,5.43,15.06,2.96
13,14-01-2018 00:00,15-01-2018 00:00,37.74,4.48,10.01,2.12
14,15-01-2018 00:00,16-01-2018 00:00,53.49,6.18,15.6,1.62
15,16-01-2018 00:00,17-01-2018 00:00,76.31,5.76,17.08,1.04
16,17-01-2018 00:00,18-01-2018 00:00,79.31,8.05,16.11,2.83
17,18-01-2018 00:00,19-01-2018 00:00,73.73,5.17,13.95,2.76
18,19-01-2018 00:00,20-01-2018 00:00,66.75,8.16,16.09,2.16
19,20-01-2018 00:00,21-01-2018 00:00,82.57,8.65,18.9,1.27
20,21-01-2018 00:00,22-01-2018 00:00,86.71,7.15,12.21,1.42
21,22-01-2018 00:00,23-01-2018 00:00,83.31,5.34,17.82,2.72
22,23-01-2018 00:00,24-01-2018 00:00,85.48,6.51,16.71,2.53
23,24-01-2018 00:00,25-01-2018 00:00,80.17,5.56,12.87,2.45
24,25-01-2018 00:00,26-01-2018 00:00,55.19,6.04,12.12,2.19
25,26-01-2018 00:00,27-01-2018 00:00,56.48,7.54,14.59,2.5
26,27-01-2018 00:00,28-01-2018 00:00,61.38,8.93,11.29,3.19
27,28-01-2018 00:00,29-01-2018 00:00,51.56,6.7,14.31,2.96
28,29-01-2018 00:00,30-01-2018 00:00,69.71,6.11,16.11,2.69
29,30-01-2018 00:00,31-01-2018 00:00,71.28,4.88,11.73,1.91
30,31-01-2018 00:00,01-02-2018 00:00,64.65,8.05,14.38,1.93
31,01-02-2018 00:00,02-02-2018 00:00,76.13,5.35,9.34,3.1
32,02-02-2018 00:00,03-02-2018 00:00,65.1,6.35,20.79,2.25
33,03-02-2018 00:00,04-02-2018 00:00,54.44,8.35,17.07,2.29
34,04-02-2018 00:00,05-02-2018 00:00,56.15,7.55,11.8,2.19
35,05-02-2018 00:00,06-02-2018 00:00,54.49,7.88,11.97,2.76
36,06-02-2018 00:00,07-02-2018 00:00,50.99,7.17,11.34,2.15
37,07-02-2018 00:00,08-02-2018 00:00,42.27,4.41,11.53,2.66
38,08-02-2018 00:00,09-02-2018 00:00,29.49,5.35,14.63,2.54
39,09-02-2018 00:00,10-02-2018 00:00,43.0,6.28,15.65,1.92
40,10-02-2018 00:00,11-02-2018 00:00,42.57,3.92,12.45,2.45
41,11-02-2018 00:00,12-02-2018 00:00,42.78,4.03,21.79,1.69
42,12-02-2018 00:00,13-02-2018 00:00,49.02,27.64,22.76,0.35
43,13-02-2018 00:00,14-02-2018 00:00,54.78,6.78,19.05,0.72
44,14-02-2018 00:00,15-02-2018 00:00,63.22,6.74,18.82,0.33
45,15-02-2018 00:00,16-02-2018 00:00,40.46,5.3,20.47,0.63
46,16-02-2018 00:00,17-02-2018 00:00,46.52,4.72,21.66,1.03
47,17-02-2018 00:00,18-02-2018 00:00,52.0,7.73,18.18,1.45
48,18-02-2018 00:00,19-02-2018 00:00,52.78,7.04,14.38,1.7
49,19-02-2018 00:00,20-02-2018 00:00,62.62,7.47,18.97,2.38
50,20-02-2018 00:00,21-02-2018 00:00,57.33,7.75,19.88,2.45
51,21-02-2018 00:00,22-02-2018 00:00,61.07,6.85,20.63,3.66
52,22-02-2018 00:00,23-02-2018 00:00,47.58,9.68,17.94,3.05
53,23-02-2018 00:00,24-02-2018 00:00,43.31,8.08,20.31,2.75
54,24-02-2018 00:00,25-02-2018 00:00,50.44,8.97,17.78,1.9
55,25-02-2018 00:00,26-02-2018 00:00,19.88,3.71,9.57,0.7
56,26-02-2018 00:00,27-02-2018 00:00,27.36,8.57,15.47,0.62
57,27-02-2018 00:00,28-02-2018 00:00,35.02,7.79,15.0,1.42
58,28-02-2018 00:00,01-03-2018 00:00,30.36,8.29,16.61,1.79
59,01-03-2018 00:00,02-03-2018 00:00,29.76,7.1,15.85,1.89
60,02-03-2018 00:00,03-03-2018 00:00,36.12,7.37,12.82,1.22
61,03-03-2018 00:00,04-03-2018 00:00,40.42,10.51,13.46,1.44
62,04-03-2018 00:00,05-03-2018 00:00,57.57,8.59,13.18,1.07
63,05-03-2018 00:00,06-03-2018 00:00,47.6,8.76,13.46,1.28
64,06-03-2018 00:00,07-03-2018 00:00,57.21,7.77,13.18,0.97
65,07-03-2018 00:00,08-03-2018 00:00,56.42,7.95,14.87,0.78
66,08-03-2018 00:00,09-03-2018 00:00,52.68,5.68,15.69,0.62
67,09-03-2018 00:00,10-03-2018 00:00,55.67,8.52,11.69,1.11
68,10-03-2018 00:00,11-03-2018 00:00,53.6,9.72,15.08,0.88
69,11-03-2018 00:00,12-03-2018 00:00,60.79,15.11,16.99,1.53
70,12-03-2018 00:00,13-03-2018 00:00,42.96,10.7,16.24,1.57
71,13-03-2018 00:00,14-03-2018 00:00,24.9,4.25,15.27,2.14
72,14-03-2018 00:00,15-03-2018 00:00,18.29,5.88,11.49,2.06
73,15-03-2018 00:00,16-03-2018 00:00,13.32,4.93,8.61,1.28
74,16-03-2018 00:00,17-03-2018 00:00,17.13,4.37,8.56,1.26
75,17-03-2018 00:00,18-03-2018 00:00,21.0,5.27,11.64,1.03
76,18-03-2018 00:00,19-03-2018 00:00,28.07,4.86,14.24,1.04
77,19-03-2018 00:00,20-03-2018 00:00,22.36,5.94,13.38,1.32
78,20-03-2018 00:00,21-03-2018 00:00,42.35,5.61,15.49,1.95
79,21-03-2018 00:00,22-03-2018 00:00,41.69,5.53,13.3,1.23
80,22-03-2018 00:00,23-03-2018 00:00,30.26,6.27,9.88,0.86
81,23-03-2018 00:00,24-03-2018 00:00,31.82,5.33,9.88,0.9
82,24-03-2018 00:00,25-03-2018 00:00,28.94,5.44,12.41,0.88
83,25-03-2018 00:00,26-03-2018 00:00,43.3,4.88,13.6,0.89
84,26-03-2018 00:00,27-03-2018 00:00,44.79,5.63,17.03,1.54
85,27-03-2018 00:00,28-03-2018 00:00,42.22,5.1,14.3,1.98
86,28-03-2018 00:00,29-03-2018 00:00,24.18,10.54,15.58,1.37
87,29-03-2018 00:00,30-03-2018 00:00,36.21,5.01,13.68,1.2
88,30-03-2018 00:00,31-03-2018 00:00,40.43,4.7,8.38,1.51
89,31-03-2018 00:00,01-04-2018 00:00,38.28,5.82,10.41,1.34
90,01-04-2018 00:00,02-04-2018 00:00,27.17,8.92,9.95,1.21
91,02-04-2018 00:00,03-04-2018 00:00,28.68,7.79,8.16,1.34
92,03-04-2018 00:00,04-04-2018 00:00,34.09,5.86,11.2,1.37
