,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,155.86,2.78,30.43,1.13
1,02-01-2018 00:00,03-01-2018 00:00,96.06,2.95,30.82,0.89
2,03-01-2018 00:00,04-01-2018 00:00,73.89,3.67,29.99,0.73
3,04-01-2018 00:00,05-01-2018 00:00,116.61,3.32,25.95,1.01
4,05-01-2018 00:00,06-01-2018 00:00,120.9,3.59,25.89,1.09
5,06-01-2018 00:00,07-01-2018 00:00,74.74,1.96,19.34,0.76
6,07-01-2018 00:00,08-01-2018 00:00,68.77,3.86,16.11,0.74
7,08-01-2018 00:00,09-01-2018 00:00,76.01,3.01,15.53,0.74
8,09-01-2018 00:00,10-01-2018 00:00,77.26,4.63,14.1,0.7
9,10-01-2018 00:00,11-01-2018 00:00,85.36,4.46,15.72,0.71
10,11-01-2018 00:00,12-01-2018 00:00,76.98,6.68,17.66,0.87
11,12-01-2018 00:00,13-01-2018 00:00,78.31,5.53,76.19,0.84
12,13-01-2018 00:00,14-01-2018 00:00,94.97,3.34,78.13,1.02
13,14-01-2018 00:00,15-01-2018 00:00,91.22,5.5,95.4,0.93
14,15-01-2018 00:00,16-01-2018 00:00,81.12,3.27,85.74,0.87
15,16-01-2018 00:00,17-01-2018 00:00,82.24,9.83,79.2,1.13
16,17-01-2018 00:00,18-01-2018 00:00,120.36,3.31,77.4,1.06
17,18-01-2018 00:00,19-01-2018 00:00,91.24,5.05,78.11,0.82
18,19-01-2018 00:00,20-01-2018 00:00,57.59,3.57,77.49,0.61
19,20-01-2018 00:00,21-01-2018 00:00,61.78,3.97,77.09,0.85
20,21-01-2018 00:00,22-01-2018 00:00,62.29,3.17,76.94,0.82
21,22-01-2018 00:00,23-01-2018 00:00,114.55,2.88,77.11,1.35
22,23-01-2018 00:00,24-01-2018 00:00,74.14,3.16,78.68,0.82
23,24-01-2018 00:00,25-01-2018 00:00,32.28,2.96,78.53,0.57
24,25-01-2018 00:00,26-01-2018 00:00,38.97,3.09,79.24,0.59
25,26-01-2018 00:00,27-01-2018 00:00,45.27,2.59,79.11,0.59
26,27-01-2018 00:00,28-01-2018 00:00,63.05,5.41,60.11,0.61
27,28-01-2018 00:00,29-01-2018 00:00,38.0,3.81,36.86,0.65
28,29-01-2018 00:00,30-01-2018 00:00,35.9,3.4,46.06,0.72
29,30-01-2018 00:00,31-01-2018 00:00,47.99,3.59,48.67,0.64
30,31-01-2018 00:00,01-02-2018 00:00,57.82,3.02,53.39,0.63
31,01-02-2018 00:00,02-02-2018 00:00,45.83,3.44,54.84,0.59
32,02-02-2018 00:00,03-02-2018 00:00,33.18,2.43,59.47,0.56
33,03-02-2018 00:00,04-02-2018 00:00,44.46,2.81,66.32,0.53
34,04-02-2018 00:00,05-02-2018 00:00,49.22,2.77,71.46,0.54
35,05-02-2018 00:00,06-02-2018 00:00,14.71,3.23,56.31,0.08
36,06-02-2018 00:00,07-02-2018 00:00,75.99,2.83,49.11,0.17
37,07-02-2018 00:00,08-02-2018 00:00,55.15,3.96,42.63,0.54
38,08-02-2018 00:00,09-02-2018 00:00,107.02,3.43,50.75,0.86
39,09-02-2018 00:00,10-02-2018 00:00,91.26,7.84,51.55,0.96
40,10-02-2018 00:00,11-02-2018 00:00,68.14,4.29,62.43,0.68
41,11-02-2018 00:00,12-02-2018 00:00,63.08,5.75,48.55,0.59
42,12-02-2018 00:00,13-02-2018 00:00,43.27,2.8,34.5,0.48
43,13-02-2018 00:00,14-02-2018 00:00,19.87,2.7,28.77,0.31
44,14-02-2018 00:00,15-02-2018 00:00,26.46,2.64,33.57,0.42
45,15-02-2018 00:00,16-02-2018 00:00,43.6,2.72,33.35,0.52
46,16-02-2018 00:00,17-02-2018 00:00,63.31,5.04,29.29,0.65
47,17-02-2018 00:00,18-02-2018 00:00,59.82,3.04,9.16,0.68
48,18-02-2018 00:00,19-02-2018 00:00,62.27,3.09,11.65,0.86
49,19-02-2018 00:00,20-02-2018 00:00,55.0,3.33,13.01,0.69
50,20-02-2018 00:00,21-02-2018 00:00,91.71,3.89,13.21,0.91
51,21-02-2018 00:00,22-02-2018 00:00,57.18,4.92,9.83,0.63
52,22-02-2018 00:00,23-02-2018 00:00,62.11,4.78,10.26,0.79
53,23-02-2018 00:00,24-02-2018 00:00,56.07,4.57,13.32,0.78
54,24-02-2018 00:00,25-02-2018 00:00,33.41,4.26,11.04,0.36
55,25-02-2018 00:00,26-02-2018 00:00,23.92,18.92,6.22,0.45
56,26-02-2018 00:00,27-02-2018 00:00,44.82,3.87,6.2,0.5
57,27-02-2018 00:00,28-02-2018 00:00,46.94,4.1,9.88,0.41
58,28-02-2018 00:00,01-03-2018 00:00,69.99,3.48,9.28,0.64
59,01-03-2018 00:00,02-03-2018 00:00,70.6,3.91,9.45,0.62
60,02-03-2018 00:00,03-03-2018 00:00,58.48,3.54,7.5,0.37
61,03-03-2018 00:00,04-03-2018 00:00,36.54,3.51,9.03,0.4
62,04-03-2018 00:00,05-03-2018 00:00,28.63,4.24,9.6,0.3
63,05-03-2018 00:00,06-03-2018 00:00,29.53,3.51,6.34,0.4
64,06-03-2018 00:00,07-03-2018 00:00,27.87,2.9,5.13,0.5
65,07-03-2018 00:00,08-03-2018 00:00,70.1,3.8,9.49,0.58
66,08-03-2018 00:00,09-03-2018 00:00,44.12,3.9,10.45,1.21
67,09-03-2018 00:00,10-03-2018 00:00,43.26,3.55,9.23,1.02
68,10-03-2018 00:00,11-03-2018 00:00,32.04,3.79,9.07,1.26
69,11-03-2018 00:00,12-03-2018 00:00,38.79,3.84,9.54,1.34
70,12-03-2018 00:00,13-03-2018 00:00,41.36,7.75,8.5,1.37
71,13-03-2018 00:00,14-03-2018 00:00,21.99,3.55,8.08,1.18
72,14-03-2018 00:00,15-03-2018 00:00,25.17,3.06,8.47,1.03
73,15-03-2018 00:00,16-03-2018 00:00,28.8,3.83,7.12,1.02
74,16-03-2018 00:00,17-03-2018 00:00,28.16,5.91,13.9,0.7
75,17-03-2018 00:00,18-03-2018 00:00,16.41,1.95,14.23,0.75
76,18-03-2018 00:00,19-03-2018 00:00,34.51,2.36,15.51,0.84
77,19-03-2018 00:00,20-03-2018 00:00,28.26,2.62,14.46,0.99
78,20-03-2018 00:00,21-03-2018 00:00,17.94,2.57,12.55,0.99
79,21-03-2018 00:00,22-03-2018 00:00,15.74,2.72,4.88,0.89
80,22-03-2018 00:00,23-03-2018 00:00,20.39,2.26,4.86,0.83
81,23-03-2018 00:00,24-03-2018 00:00,30.0,2.66,6.12,0.98
82,24-03-2018 00:00,25-03-2018 00:00,45.61,6.62,11.42,0.95
83,25-03-2018 00:00,26-03-2018 00:00,43.61,1.79,13.78,1.13
84,26-03-2018 00:00,27-03-2018 00:00,44.39,3.22,13.86,1.24
85,27-03-2018 00:00,28-03-2018 00:00,43.77,7.24,12.95,1.02
86,28-03-2018 00:00,29-03-2018 00:00,38.17,5.44,12.83,0.97
87,29-03-2018 00:00,30-03-2018 00:00,29.87,1.21,13.63,0.91
88,30-03-2018 00:00,31-03-2018 00:00,41.19,5.94,9.13,0.97
89,31-03-2018 00:00,01-04-2018 00:00,23.69,4.11,6.46,0.83
90,01-04-2018 00:00,02-04-2018 00:00,35.67,4.94,8.92,0.98
91,02-04-2018 00:00,03-04-2018 00:00,55.54,3.8,6.54,1.08
92,03-04-2018 00:00,04-04-2018 00:00,77.1,4.2,6.26,1.21
93,04-04-2018 00:00,05-04-2018 00:00,58.24,5.5,2.44,0.99
94,05-04-2018 00:00,06-04-2018 00:00,75.35,5.63,16.91,1.07
95,06-04-2018 00:00,07-04-2018 00:00,59.33,5.75,17.62,1.12
96,07-04-2018 00:00,08-04-2018 00:00,35.32,4.21,17.77,0.94
97,08-04-2018 00:00,09-04-2018 00:00,43.5,5.27,17.47,0.9
98,09-04-2018 00:00,10-04-2018 00:00,31.02,4.54,11.57,0.92
99,10-04-2018 00:00,11-04-2018 00:00,49.0,6.23,2.58,1.09
100,11-04-2018 00:00,12-04-2018 00:00,17.61,4.89,4.58,0.89
101,12-04-2018 00:00,13-04-2018 00:00,26.82,4.67,237.27,0.77
102,13-04-2018 00:00,14-04-2018 00:00,43.6,5.1,25.06,0.91
103,14-04-2018 00:00,15-04-2018 00:00,63.48,4.63,22.42,1.13
104,15-04-2018 00:00,16-04-2018 00:00,57.48,4.49,21.27,1.19
105,16-04-2018 00:00,17-04-2018 00:00,48.23,4.33,16.17,0.98
106,17-04-2018 00:00,18-04-2018 00:00,30.61,6.19,16.99,0.88
107,18-04-2018 00:00,19-04-2018 00:00,42.41,5.05,4.89,1.16
108,19-04-2018 00:00,20-04-2018 00:00,54.57,4.11,9.02,1.35
109,20-04-2018 00:00,21-04-2018 00:00,28.2,4.95,9.46,1.08
110,21-04-2018 00:00,22-04-2018 00:00,31.21,4.65,8.67,1.03
111,22-04-2018 00:00,23-04-2018 00:00,45.48,4.82,8.81,1.07
112,23-04-2018 00:00,24-04-2018 00:00,67.86,4.29,8.82,1.18
113,24-04-2018 00:00,25-04-2018 00:00,69.4,4.87,8.63,1.2
114,25-04-2018 00:00,26-04-2018 00:00,62.53,4.85,9.26,1.05
115,26-04-2018 00:00,27-04-2018 00:00,61.3,4.75,8.67,0.93
116,27-04-2018 00:00,28-04-2018 00:00,80.75,5.42,10.0,0.96
117,28-04-2018 00:00,29-04-2018 00:00,60.32,4.2,10.58,0.91
118,29-04-2018 00:00,30-04-2018 00:00,69.92,5.99,10.57,0.7
119,30-04-2018 00:00,01-05-2018 00:00,74.29,8.05,10.64,1.17
120,01-05-2018 00:00,02-05-2018 00:00,61.01,8.8,11.05,1.16
121,02-05-2018 00:00,03-05-2018 00:00,51.9,13.09,10.22,1.11
122,03-05-2018 00:00,04-05-2018 00:00,33.91,6.97,8.35,0.85
123,04-05-2018 00:00,05-05-2018 00:00,43.89,4.78,8.23,0.95
124,05-05-2018 00:00,06-05-2018 00:00,67.5,5.74,8.23,1.26
125,06-05-2018 00:00,07-05-2018 00:00,63.5,5.07,8.22,1.02
126,07-05-2018 00:00,08-05-2018 00:00,40.46,6.53,8.24,0.31
127,08-05-2018 00:00,09-05-2018 00:00,51.12,5.1,8.21,1.09
128,09-05-2018 00:00,10-05-2018 00:00,59.94,4.79,8.25,1.09
129,10-05-2018 00:00,11-05-2018 00:00,105.21,4.72,8.25,1.04
130,11-05-2018 00:00,12-05-2018 00:00,111.71,5.84,8.24,1.12
131,12-05-2018 00:00,13-05-2018 00:00,102.71,5.67,8.25,1.2
