,From_Date,To_Date,PM2.5,SO2,NO2,CO
0,01-01-2018 00:00,02-01-2018 00:00,268.29,51.1,47.59,0.0
1,02-01-2018 00:00,03-01-2018 00:00,228.88,33.89,21.71,0.0
2,03-01-2018 00:00,04-01-2018 00:00,248.58,41.76,88.46,0.0
3,04-01-2018 00:00,05-01-2018 00:00,281.95,34.8,52.59,0.0
4,05-01-2018 00:00,06-01-2018 00:00,245.74,30.51,20.2,0.0
5,06-01-2018 00:00,07-01-2018 00:00,239.76,32.3,72.76,0.0
6,07-01-2018 00:00,08-01-2018 00:00,271.72,56.67,92.5,0.0
7,08-01-2018 00:00,09-01-2018 00:00,320.55,60.11,89.86,0.0
8,09-01-2018 00:00,10-01-2018 00:00,236.46,52.2,42.41,0.66
9,10-01-2018 00:00,11-01-2018 00:00,205.46,41.78,55.8,0.71
10,11-01-2018 00:00,12-01-2018 00:00,205.51,66.28,75.99,0.9
11,12-01-2018 00:00,13-01-2018 00:00,246.39,69.46,92.73,1.15
12,13-01-2018 00:00,14-01-2018 00:00,237.66,49.68,67.13,1.68
13,14-01-2018 00:00,15-01-2018 00:00,191.33,44.23,28.32,0.97
14,15-01-2018 00:00,16-01-2018 00:00,212.53,46.58,66.26,0.56
15,16-01-2018 00:00,17-01-2018 00:00,218.11,57.55,77.8,1.1
16,17-01-2018 00:00,18-01-2018 00:00,174.48,49.25,34.1,0.95
17,18-01-2018 00:00,19-01-2018 00:00,179.65,42.79,27.22,1.57
18,19-01-2018 00:00,20-01-2018 00:00,138.53,42.12,51.15,1.22
19,20-01-2018 00:00,21-01-2018 00:00,119.71,47.82,62.74,0.88
20,21-01-2018 00:00,22-01-2018 00:00,176.07,46.82,65.04,1.19
21,22-01-2018 00:00,23-01-2018 00:00,201.13,48.76,43.94,1.16
22,23-01-2018 00:00,24-01-2018 00:00,195.85,46.58,68.31,1.19
23,24-01-2018 00:00,25-01-2018 00:00,168.55,48.01,36.1,0.46
24,25-01-2018 00:00,26-01-2018 00:00,114.59,49.14,20.73,0.7
25,26-01-2018 00:00,27-01-2018 00:00,108.98,48.55,9.21,0.59
26,27-01-2018 00:00,28-01-2018 00:00,155.55,44.25,46.11,0.7
27,28-01-2018 00:00,29-01-2018 00:00,239.87,29.38,22.6,0.76
28,29-01-2018 00:00,30-01-2018 00:00,195.33,32.05,13.85,0.91
29,30-01-2018 00:00,31-01-2018 00:00,294.88,35.82,92.7,0.99
30,31-01-2018 00:00,01-02-2018 00:00,255.69,36.23,67.67,0.85
31,01-02-2018 00:00,02-02-2018 00:00,209.72,33.75,14.7,1.08
32,02-02-2018 00:00,03-02-2018 00:00,197.13,37.08,8.41,0.8
33,03-02-2018 00:00,04-02-2018 00:00,150.39,29.71,103.0,0.77
34,04-02-2018 00:00,05-02-2018 00:00,102.16,34.29,119.68,0.82
35,05-02-2018 00:00,06-02-2018 00:00,80.3,34.16,48.97,0.99
36,06-02-2018 00:00,07-02-2018 00:00,101.32,36.07,32.48,1.14
37,07-02-2018 00:00,08-02-2018 00:00,126.41,36.14,28.44,0.69
38,08-02-2018 00:00,09-02-2018 00:00,109.01,26.65,24.99,0.61
39,09-02-2018 00:00,10-02-2018 00:00,101.34,37.76,24.14,0.95
40,10-02-2018 00:00,11-02-2018 00:00,121.12,39.06,21.26,1.7
41,11-02-2018 00:00,12-02-2018 00:00,157.82,37.47,20.89,0.92
42,12-02-2018 00:00,13-02-2018 00:00,177.09,31.66,28.26,0.63
43,13-02-2018 00:00,14-02-2018 00:00,149.52,36.19,24.68,2.08
